CustomerID,Lookalikes
C0039,"[('C0181', 1.0), ('C0113', 0.9749005254295222), ('C0148', 0.968245836551854)]"
C0040,"[('C0092', 0.984731927834662), ('C0056', 0.9428090415820636), ('C0088', 0.9036961141150641)]"
C0041,"[('C0081', 0.9814954576223637), ('C0017', 0.9791300486523296), ('C0135', 0.9486832980505138)]"
C0042,"[('C0176', 0.9999999999999998), ('C0029', 0.9354143466934852), ('C0034', 0.9296696802013681)]"
C0043,"[('C0178', 0.943879807448539), ('C0143', 0.8999999999999999), ('C0123', 0.8944271909999159)]"
C0044,"[('C0074', 1.0), ('C0105', 0.9036961141150639), ('C0198', 0.8660254037844388)]"
C0045,"[('C0084', 0.9356014857063997), ('C0028', 0.9271050693011065), ('C0146', 0.9258200997725514)]"
C0046,"[('C0046', 0.9999999999999998), ('C0116', 0.9750168689498874), ('C0189', 0.9544271444636664)]"
C0047,"[('C0038', 0.9689627902499088), ('C0160', 0.9689627902499088), ('C0116', 0.9585144756340407)]"
C0048,"[('C0048', 1.0), ('C0184', 0.968962790249909), ('C0102', 0.9660917830792959)]"
C0049,"[('C0183', 0.9686648999069225), ('C0016', 0.9686648999069225), ('C0013', 0.9485040136686709)]"
C0050,"[('C0125', 0.9561828874675149), ('C0068', 0.9449111825230679), ('C0035', 0.8819171036881968)]"
C0051,"[('C0127', 0.9746794344808962), ('C0114', 0.9689627902499087), ('C0119', 0.9561828874675149)]"
C0052,"[('C0012', 0.9783991809404571), ('C0152', 0.9770084209183945), ('C0076', 0.9770084209183945)]"
C0053,"[('C0170', 0.968962790249909), ('C0182', 0.968962790249909), ('C0164', 0.968962790249909)]"
C0054,"[('C0173', 0.9555330859059094), ('C0162', 0.9517337345336012), ('C0090', 0.933799055647682)]"
C0055,"[('C0067', 0.9647638212377321), ('C0117', 0.9561828874675149), ('C0026', 0.9486832980505138)]"
C0056,"[('C0092', 0.9574271077563381), ('C0040', 0.9428090415820636), ('C0022', 0.9258200997725516)]"
C0057,"[('C0075', 0.9819805060619659), ('C0017', 0.9630868246861538), ('C0114', 0.9622504486493764)]"
C0058,"[('C0058', 1.0000000000000002), ('C0042', 0.8728715609439696), ('C0176', 0.8728715609439696)]"
C0059,"[('C0008', 0.9813362488634229), ('C0189', 0.9647638212377323), ('C0104', 0.9500000000000001)]"
C0060,"[('C0060', 1.0000000000000002), ('C0089', 0.9622504486493763), ('C0196', 0.8703882797784893)]"
C0061,"[('C0010', 0.984731927834662), ('C0099', 0.8660254037844387), ('C0132', 0.8333333333333336)]"
C0062,"[('C0103', 0.9091372900969896), ('C0134', 0.8908708063747479), ('C0111', 0.8819171036881966)]"
C0063,"[('C0070', 0.9438798074485389), ('C0132', 0.9128709291752769), ('C0019', 0.8783100656536799)]"
C0064,"[('C0121', 0.9805806756909199), ('C0073', 0.9434563530497264), ('C0041', 0.9302605094190635)]"
C0065,"[('C0160', 0.9799578870122229), ('C0038', 0.9799578870122229), ('C0012', 0.9783991809404571)]"
C0066,"[('C0105', 0.9486832980505139), ('C0198', 0.9428090415820636), ('C0149', 0.8616404368553292)]"
C0067,"[('C0055', 0.9647638212377321), ('C0098', 0.9624354790229065), ('C0117', 0.9434563530497264)]"
C0068,"[('C0125', 0.9486832980505139), ('C0050', 0.9449111825230679), ('C0023', 0.917662935482247)]"
C0069,"[('C0197', 0.9538209664765319), ('C0045', 0.9011271137791659), ('C0091', 0.9011271137791659)]"
C0070,"[('C0019', 0.9869275424396535), ('C0063', 0.9438798074485389), ('C0064', 0.9198662110078)]"
C0071,"[('C0137', 0.973328526784575), ('C0174', 0.9449111825230682), ('C0006', 0.9428090415820634)]"
C0072,"[('C0016', 0.9341987329938276), ('C0183', 0.9341987329938276), ('C0049', 0.9271050693011064)]"
C0073,"[('C0064', 0.9434563530497264), ('C0121', 0.9354143466934851), ('C0135', 0.9354143466934851)]"
C0074,"[('C0074', 1.0), ('C0105', 0.9036961141150639), ('C0198', 0.8660254037844388)]"
C0075,"[('C0017', 0.9851380077988758), ('C0057', 0.9819805060619659), ('C0114', 0.9449111825230679)]"
C0076,"[('C0025', 0.984731927834662), ('C0104', 0.9775898005717012), ('C0052', 0.9770084209183945)]"
C0077,"[('C0077', 0.9999999999999998), ('C0099', 0.9354143466934851), ('C0165', 0.8944271909999156)]"
C0078,"[('C0193', 0.8574929257125441), ('C0142', 0.8528028654224417), ('C0027', 0.8017837257372731)]"
C0079,"[('C0189', 0.960768922830523), ('C0038', 0.9428090415820636), ('C0160', 0.9428090415820636)]"
C0080,"[('C0097', 1.0000000000000002), ('C0080', 1.0000000000000002), ('C0128', 0.9622504486493763)]"
C0081,"[('C0041', 0.9814954576223637), ('C0017', 0.9690874237046978), ('C0086', 0.968962790249909)]"
C0082,"[('C0169', 0.9805806756909201), ('C0147', 0.9736676403347938), ('C0006', 0.9428090415820632)]"
C0083,"[('C0077', 0.9999999999999998), ('C0099', 0.9354143466934851), ('C0165', 0.8944271909999156)]"
C0084,"[('C0045', 0.9356014857063997), ('C0105', 0.9298956298171), ('C0101', 0.929758101807797)]"
C0085,"[('C0148', 0.9486832980505138), ('C0004', 0.923869770874312), ('C0039', 0.9185586535436919)]"
C0086,"[('C0164', 1.0000000000000002), ('C0170', 1.0000000000000002), ('C0086', 1.0000000000000002)]"
C0087,"[('C0087', 1.0000000000000002), ('C0168', 0.966091783079296), ('C0191', 0.9578414886923188)]"
C0088,"[('C0101', 0.9231326627541019), ('C0084', 0.9219544457292888), ('C0028', 0.9192388155425117)]"
C0089,"[('C0014', 0.9622504486493763), ('C0060', 0.9622504486493763), ('C0100', 0.9238697708743119)]"
C0090,"[('C0173', 0.9772545497599154), ('C0162', 0.9467292624062575), ('C0075', 0.9354143466934853)]"
C0091,"[('C0096', 0.9914601339836673), ('C0001', 0.9331389496316869), ('C0184', 0.9258200997725516)]"
C0092,"[('C0040', 0.984731927834662), ('C0056', 0.9574271077563381), ('C0022', 0.8864052604279183)]"
C0093,"[('C0145', 0.9838197164968291), ('C0143', 0.9797958971132711), ('C0022', 0.9759000729485333)]"
C0094,"[('C0156', 0.9165785722292265), ('C0125', 0.8944271909999159), ('C0011', 0.8825226081218279)]"
C0095,"[('C0148', 0.9237604307034011), ('C0085', 0.9128709291752769), ('C0129', 0.9128709291752769)]"
C0096,"[('C0091', 0.9914601339836673), ('C0184', 0.944911182523068), ('C0048', 0.9296696802013682)]"
C0097,"[('C0097', 1.0000000000000002), ('C0080', 1.0000000000000002), ('C0128', 0.9622504486493763)]"
C0098,"[('C0109', 0.9649878498652702), ('C0067', 0.9624354790229065), ('C0046', 0.936585811581694)]"
C0099,"[('C0034', 0.9486832980505138), ('C0083', 0.9354143466934851), ('C0077', 0.9354143466934851)]"
C0100,"[('C0179', 1.0), ('C0086', 0.984731927834662), ('C0164', 0.984731927834662)]"
C0101,"[('C0027', 0.9457324874869208), ('C0021', 0.9335638713962129), ('C0161', 0.9325048082403139)]"
C0102,"[('C0188', 1.0000000000000002), ('C0184', 0.9772545497599157), ('C0118', 0.968364052270084)]"
C0103,"[('C0124', 0.9772545497599157), ('C0196', 0.9669875568304563), ('C0053', 0.9660917830792959)]"
C0104,"[('C0012', 0.9874208829065751), ('C0152', 0.9775898005717012), ('C0076', 0.9775898005717012)]"
C0105,"[('C0066', 0.9486832980505139), ('C0084', 0.9298956298171), ('C0074', 0.9036961141150639)]"
C0106,"[('C0002', 0.9636241116594317), ('C0143', 0.9561828874675149), ('C0134', 0.9449111825230682)]"
C0107,"[('C0013', 0.9869275424396535), ('C0192', 0.9594032236002469), ('C0032', 0.9438798074485389)]"
C0108,"[('C0169', 0.9253038911459844), ('C0187', 0.9152492334988813), ('C0046', 0.9088932591463859)]"
C0109,"[('C0098', 0.9649878498652702), ('C0141', 0.9556773717634183), ('C0093', 0.9466382788624976)]"
C0110,"[('C0097', 1.0000000000000002), ('C0080', 1.0000000000000002), ('C0128', 0.9622504486493763)]"
C0111,"[('C0141', 0.9864400504156211), ('C0053', 0.9467292624062573), ('C0109', 0.9149914219956281)]"
C0112,"[('C0168', 0.9561828874675149), ('C0192', 0.9354143466934852), ('C0120', 0.9116846116771036)]"
C0113,"[('C0039', 0.9749005254295222), ('C0181', 0.9749005254295222), ('C0004', 0.9697622757528539)]"
C0114,"[('C0051', 0.9689627902499087), ('C0057', 0.9622504486493764), ('C0075', 0.9449111825230679)]"
C0115,"[('C0186', 1.0000000000000002), ('C0084', 0.9101820546182064), ('C0045', 0.8908708063747481)]"
C0116,"[('C0024', 0.9750168689498874), ('C0046', 0.9750168689498874), ('C0194', 0.9750168689498874)]"
C0117,"[('C0055', 0.9561828874675149), ('C0122', 0.9538209664765318), ('C0194', 0.9538209664765318)]"
C0118,"[('C0102', 0.968364052270084), ('C0188', 0.968364052270084), ('C0190', 0.9647638212377321)]"
C0119,"[('C0127', 0.9810229431759452), ('C0199', 0.9636241116594317), ('C0051', 0.9561828874675149)]"
C0120,"[('C0091', 0.9211323729436766), ('C0112', 0.9116846116771036), ('C0001', 0.8864052604279183)]"
C0121,"[('C0064', 0.9805806756909199), ('C0017', 0.9583727150068315), ('C0041', 0.9486832980505138)]"
C0122,"[('C0122', 0.9999999999999998), ('C0116', 0.9750168689498874), ('C0154', 0.9750168689498874)]"
C0123,"[('C0178', 0.9045340337332909), ('C0136', 0.9041944301794651), ('C0043', 0.8944271909999159)]"
C0124,"[('C0196', 0.986440050415621), ('C0103', 0.9772545497599157), ('C0167', 0.9467292624062574)]"
C0125,"[('C0050', 0.9561828874675149), ('C0068', 0.9486832980505139), ('C0018', 0.912870929175277)]"
C0126,"[('C0011', 0.9922778767136679), ('C0153', 0.9534625892455924), ('C0171', 0.9467292624062574)]"
C0127,"[('C0119', 0.9810229431759452), ('C0051', 0.9746794344808962), ('C0199', 0.9544271444636665)]"
C0128,"[('C0110', 0.9622504486493763), ('C0097', 0.9622504486493763), ('C0080', 0.9622504486493763)]"
C0129,"[('C0003', 0.9428090415820636), ('C0031', 0.9428090415820636), ('C0158', 0.9428090415820636)]"
C0130,"[('C0112', 0.8728715609439696), ('C0120', 0.8703882797784892), ('C0192', 0.816496580927726)]"
C0131,"[('C0015', 0.9486832980505138), ('C0139', 0.9428090415820634), ('C0047', 0.9036961141150639)]"
C0132,"[('C0063', 0.9128709291752769), ('C0153', 0.8703882797784892), ('C0135', 0.8660254037844387)]"
C0133,"[('C0195', 0.9621404708847278), ('C0025', 0.9258200997725516), ('C0003', 0.9258200997725516)]"
C0134,"[('C0002', 0.9805806756909203), ('C0145', 0.9525793444156805), ('C0143', 0.9486832980505138)]"
C0135,"[('C0167', 0.9486832980505138), ('C0041', 0.9486832980505138), ('C0073', 0.9354143466934851)]"
C0136,"[('C0138', 0.9686196045011366), ('C0065', 0.9686196045011366), ('C0037', 0.9598276382674855)]"
C0137,"[('C0071', 0.973328526784575), ('C0187', 0.9477582044145476), ('C0047', 0.92147859824173)]"
C0138,"[('C0178', 0.9869275424396535), ('C0136', 0.9686196045011366), ('C0159', 0.9660917830792959)]"
C0139,"[('C0131', 0.9428090415820634), ('C0147', 0.927960727138337), ('C0137', 0.917662935482247)]"
C0140,"[('C0007', 0.944911182523068), ('C0005', 0.944911182523068), ('C0162', 0.9128709291752768)]"
C0141,"[('C0111', 0.9864400504156211), ('C0109', 0.9556773717634183), ('C0093', 0.9534625892455922)]"
C0142,"[('C0193', 0.9506541513652699), ('C0027', 0.9116846116771036), ('C0153', 0.899954085146515)]"
C0143,"[('C0145', 0.989762410697451), ('C0093', 0.9797958971132711), ('C0200', 0.9689627902499087)]"
C0144,"[('C0036', 0.9128709291752769), ('C0185', 0.9128709291752769), ('C0079', 0.903696114115064)]"
C0145,"[('C0143', 0.989762410697451), ('C0093', 0.9838197164968291), ('C0022', 0.9772545497599154)]"
C0146,"[('C0005', 0.9354143466934852), ('C0007', 0.9354143466934852), ('C0045', 0.9258200997725514)]"
C0147,"[('C0082', 0.9736676403347938), ('C0006', 0.9578949441427994), ('C0169', 0.946457414634764)]"
C0148,"[('C0181', 0.968245836551854), ('C0039', 0.968245836551854), ('C0113', 0.9589266029707683)]"
C0149,"[('C0114', 0.9045340337332909), ('C0111', 0.9045340337332909), ('C0141', 0.8922685978385128)]"
C0150,"[('C0083', 0.8728715609439696), ('C0077', 0.8728715609439696), ('C0032', 0.7745966692414834)]"
C0151,"[('C0095', 0.8944271909999159), ('C0052', 0.8728715609439696), ('C0025', 0.8660254037844387)]"
C0152,"[('C0012', 0.9900436758984323), ('C0104', 0.9775898005717012), ('C0052', 0.9770084209183945)]"
C0153,"[('C0126', 0.9534625892455924), ('C0011', 0.9460998335825321), ('C0165', 0.9369749612033812)]"
C0154,"[('C0122', 0.9750168689498874), ('C0194', 0.9750168689498874), ('C0008', 0.9742785792574937)]"
C0155,"[('C0087', 1.0000000000000002), ('C0168', 0.966091783079296), ('C0191', 0.9578414886923188)]"
C0156,"[('C0165', 0.9279706720076405), ('C0101', 0.9221463510858955), ('C0183', 0.9196009797434057)]"
C0157,"[('C0154', 0.968245836551854), ('C0122', 0.9477582044145476), ('C0194', 0.9477582044145476)]"
C0158,"[('C0003', 1.0000000000000002), ('C0031', 1.0000000000000002), ('C0195', 0.9814954576223639)]"
C0159,"[('C0138', 0.9660917830792959), ('C0002', 0.9647638212377323), ('C0178', 0.9534625892455924)]"
C0160,"[('C0038', 1.0000000000000002), ('C0065', 0.9799578870122229), ('C0047', 0.9689627902499088)]"
C0161,"[('C0175', 0.9638631946829986), ('C0021', 0.9534625892455924), ('C0028', 0.95)]"
C0162,"[('C0054', 0.9517337345336012), ('C0008', 0.9486832980505138), ('C0090', 0.9467292624062575)]"
C0163,"[('C0152', 0.9684002494125047), ('C0059', 0.9490299756787677), ('C0158', 0.9365858115816941)]"
C0164,"[('C0164', 1.0000000000000002), ('C0170', 1.0000000000000002), ('C0086', 1.0000000000000002)]"
C0165,"[('C0153', 0.9369749612033812), ('C0156', 0.9279706720076405), ('C0099', 0.926302172234155)]"
C0166,"[('C0179', 0.9642365197998376), ('C0100', 0.9642365197998376), ('C0086', 0.9574271077563381)]"
C0167,"[('C0103', 0.9561828874675149), ('C0135', 0.9486832980505138), ('C0124', 0.9467292624062574)]"
C0168,"[('C0191', 0.9797958971132712), ('C0155', 0.966091783079296), ('C0087', 0.966091783079296)]"
C0169,"[('C0082', 0.9805806756909201), ('C0147', 0.946457414634764), ('C0108', 0.9253038911459844)]"
C0170,"[('C0164', 1.0000000000000002), ('C0170', 1.0000000000000002), ('C0086', 1.0000000000000002)]"
C0171,"[('C0126', 0.9467292624062574), ('C0193', 0.9335200560186732), ('C0011', 0.9073928715621605)]"
C0172,"[('C0037', 0.9789450103725611), ('C0065', 0.9576861168528542), ('C0100', 0.9574271077563383)]"
C0173,"[('C0175', 0.9798272520870257), ('C0090', 0.9772545497599154), ('C0054', 0.9555330859059094)]"
C0174,"[('C0071', 0.9449111825230682), ('C0137', 0.9197090092274488), ('C0147', 0.9120291854009067)]"
C0175,"[('C0173', 0.9798272520870257), ('C0161', 0.9638631946829986), ('C0200', 0.9578949441427993)]"
C0176,"[('C0176', 0.9999999999999998), ('C0029', 0.9354143466934852), ('C0034', 0.9296696802013681)]"
C0177,"[('C0090', 0.9166666666666665), ('C0021', 0.9045340337332909), ('C0017', 0.8846517369293829)]"
C0178,"[('C0138', 0.9869275424396535), ('C0159', 0.9534625892455924), ('C0043', 0.943879807448539)]"
C0179,"[('C0179', 1.0), ('C0086', 0.984731927834662), ('C0164', 0.984731927834662)]"
C0181,"[('C0181', 1.0), ('C0113', 0.9749005254295222), ('C0148', 0.968245836551854)]"
C0182,"[('C0164', 1.0000000000000002), ('C0170', 1.0000000000000002), ('C0086', 1.0000000000000002)]"
C0183,"[('C0183', 1.0), ('C0049', 0.9686648999069225), ('C0029', 0.9594032236002469)]"
C0184,"[('C0102', 0.9772545497599157), ('C0188', 0.9772545497599157), ('C0190', 0.968962790249909)]"
C0185,"[('C0185', 1.0000000000000002), ('C0079', 0.9428090415820636), ('C0024', 0.936585811581694)]"
C0186,"[('C0186', 1.0000000000000002), ('C0084', 0.9101820546182064), ('C0045', 0.8908708063747481)]"
C0187,"[('C0025', 0.968962790249909), ('C0137', 0.9477582044145476), ('C0006', 0.9467292624062573)]"
C0188,"[('C0188', 1.0000000000000002), ('C0184', 0.9772545497599157), ('C0118', 0.968364052270084)]"
C0189,"[('C0116', 0.9707253433941511), ('C0154', 0.970725343394151), ('C0059', 0.9647638212377323)]"
C0190,"[('C0048', 1.0), ('C0184', 0.968962790249909), ('C0102', 0.9660917830792959)]"
C0191,"[('C0168', 0.9797958971132712), ('C0087', 0.9578414886923188), ('C0155', 0.9578414886923188)]"
C0192,"[('C0107', 0.9594032236002469), ('C0032', 0.9486832980505138), ('C0112', 0.9354143466934852)]"
C0193,"[('C0142', 0.9506541513652699), ('C0171', 0.9335200560186732), ('C0070', 0.8775269089525568)]"
C0194,"[('C0122', 0.9999999999999998), ('C0116', 0.9750168689498874), ('C0154', 0.9750168689498874)]"
C0195,"[('C0158', 0.9814954576223639), ('C0003', 0.9814954576223639), ('C0031', 0.9814954576223639)]"
C0196,"[('C0124', 0.986440050415621), ('C0103', 0.9669875568304563), ('C0100', 0.9642365197998376)]"
C0197,"[('C0069', 0.9538209664765319), ('C0127', 0.9538209664765318), ('C0199', 0.9434563530497265)]"
C0198,"[('C0009', 0.9428090415820636), ('C0066', 0.9428090415820636), ('C0105', 0.894427190999916)]"
C0199,"[('C0119', 0.9636241116594317), ('C0127', 0.9544271444636665), ('C0197', 0.9434563530497265)]"
C0200,"[('C0022', 0.9799578870122229), ('C0093', 0.9737289911202953), ('C0143', 0.9689627902499087)]"
